# fps: 10.000000
# x,y,z,qx,qy,qz,qw
0.119664,0.55306,0.443052,0.376409,0.215475,-0.498116,0.750844
0.115422,0.52715,0.435788,0.368659,0.226021,-0.521678,0.735429
0.124643,0.528459,0.43971,0.361519,0.238045,-0.544493,0.718447
0.120063,0.51532,0.429231,0.353814,0.249604,-0.568265,0.699706
0.126646,0.504107,0.431804,0.346328,0.261092,-0.589939,0.681072
0.103603,0.49974,0.438791,0.337159,0.270935,-0.611195,0.662841
0.0904149,0.498699,0.436827,0.326895,0.281152,-0.631999,0.64395
0.0719941,0.491274,0.425796,0.318293,0.291289,-0.65198,0.623508
0.0547777,0.486736,0.41923,0.309648,0.301757,-0.670537,0.60286
0.0362558,0.505612,0.448553,0.299866,0.311181,-0.689097,0.581715
0.0253889,0.512313,0.441806,0.289313,0.320837,-0.707222,0.559641
-0.00217158,0.517236,0.437283,0.278805,0.329231,-0.72416,0.538021
-0.0176001,0.524217,0.443825,0.26602,0.339803,-0.740551,0.515123
-0.0344184,0.545399,0.432572,0.25366,0.349135,-0.756586,0.491262
-0.0464325,0.548985,0.442694,0.240899,0.357115,-0.771462,0.468275
-0.0527274,0.565008,0.452194,0.227965,0.365343,-0.785493,0.444474
-0.0596207,0.579607,0.455368,0.213763,0.371912,-0.799258,0.42092
-0.0841784,0.584228,0.457988,0.199163,0.379023,-0.811816,0.397026
-0.0811337,0.596325,0.459309,0.18534,0.387472,-0.822996,0.371742
-0.103757,0.602572,0.464942,0.171714,0.394724,-0.832897,0.347837
-0.136456,0.621273,0.457571,0.158119,0.400082,-0.843257,0.32226
-0.163526,0.634269,0.48022,0.142506,0.407439,-0.851916,0.29652
-0.15772,0.631289,0.499381,0.128513,0.413793,-0.86037,0.268374
-0.171568,0.626418,0.496174,0.115112,0.41803,-0.867954,0.242191
-0.170766,0.627517,0.505769,0.100187,0.423322,-0.874188,0.215768
-0.172805,0.626932,0.511469,0.0852738,0.428119,-0.879626,0.188947
-0.170524,0.616166,0.53347,0.0699988,0.430757,-0.88542,0.159939
